"rho","gamma","brier_male","brier_female","auc_male","auc_female"
0.2,0.3,0.150252308976112,0.0848566621487234,0.781949330705984,0.800735766350723
0.3,0.3,0.150565130580542,0.0890177034538161,0.793860672745723,0.799918484845192
0.4,0.3,0.156427131068555,0.0845729043077213,0.802412761842622,0.805545982706345
0.5,0.3,0.149240549513976,0.0909663599261611,0.813312779953116,0.803355373756582
0.6,0.3,0.15982476363522,0.0970742232062208,0.836829756365448,0.813216304323976
0.7,0.3,0.167804187378012,0.0998455094121421,0.842245058152347,0.821740316726518
0.8,0.3,0.18518204017012,0.115210333599757,0.857334211653836,0.847660213708204
0.9,0.3,0.278349575901217,0.166470905468713,0.893936724496116,0.91773405275077
0,0.4,0.150158778566392,0.0990599287696545,0.769906267732299,0.786644535905595
0.1,0.4,0.145317394067725,0.0903123976891723,0.773056896346988,0.801680718633683
0.2,0.4,0.14857538074547,0.0893423066513689,0.784779237032416,0.797487723797799
0.3,0.4,0.147189873294362,0.084988059900199,0.794536049338173,0.80539995570677
0.4,0.4,0.150316447848395,0.0941316327263199,0.803407614835892,0.799155438932781
0.5,0.4,0.15494272596211,0.0952936699260691,0.813246171825982,0.80522540551906
0.6,0.4,0.159265072529812,0.100031295835595,0.822878236020066,0.807803378231235
0.7,0.4,0.169772730408464,0.105425029930001,0.838263775645568,0.83452140927493
0.8,0.4,0.184398002162473,0.116591090665884,0.854060140959925,0.872348763701398
0.9,0.4,0.264279074005697,0.156636866282631,0.888132300085458,0.908358803684268
0,0.5,0.152271160702904,0.0865238084520744,0.767469714451777,0.803186636125371
0.1,0.5,0.143749570697523,0.0877523247228861,0.784300425327825,0.802654538201225
0.2,0.5,0.154779695456166,0.0881094872312748,0.778413445598485,0.798647873518216
0.3,0.5,0.138505144863845,0.0900837886506288,0.789071284952736,0.795904347282373
0.4,0.5,0.151950276133775,0.0851329951516542,0.792652079571515,0.80813496698939
0.5,0.5,0.147398941123663,0.0861526712457345,0.801737629150011,0.810305483566297
0.6,0.5,0.15614788727286,0.0932845390385758,0.814667018701829,0.82444388418633
0.7,0.5,0.166075811573201,0.101094699714572,0.832221162515721,0.832085716102297
0.8,0.5,0.190388066089615,0.11617296314062,0.858424990987669,0.861377241926755
0.9,0.5,0.291260003867869,0.154141847532088,0.895753989954093,0.920469834496367
0,0.6,0.150591146838566,0.0851789517220558,0.769036632622419,0.801562775800457
0.1,0.6,0.149178829446914,0.0903653595020774,0.772758697419161,0.799861803406114
0.2,0.6,0.150853535224141,0.0888653910906883,0.78016357130491,0.80091909679108
0.3,0.6,0.147114454068977,0.0853479042446484,0.796991628546826,0.806848327386639
0.4,0.6,0.152373660984933,0.0886450049846501,0.796954467525077,0.811287805899705
0.5,0.6,0.147721516123989,0.0857459730185764,0.801368381276162,0.817976157940454
0.6,0.6,0.158238072116427,0.0862237341435017,0.82138425667185,0.821408313680717
0.7,0.6,0.172056964905018,0.103569625742893,0.83754321909273,0.844979107709506
0.8,0.6,0.201919843207461,0.110831919328595,0.869357085236172,0.872602562142254
0.9,0.6,0.282188525208764,0.160780344776163,0.895444066547954,0.929365944880337
0,0.7,0.14742905506517,0.0862335986955802,0.759604601263041,0.802058823365454
0.1,0.7,0.156065946675736,0.0854506653792371,0.775578642273946,0.804014010885254
0.2,0.7,0.149614593474231,0.0861514846440522,0.783090553883076,0.798599828016621
0.3,0.7,0.155399179440705,0.0843793375082317,0.784234061396668,0.808588068088305
0.4,0.7,0.147760803258502,0.0855868068229497,0.801987898282997,0.809960462815283
0.5,0.7,0.149129759975626,0.0902490129127423,0.801800780266312,0.811359323148489
0.6,0.7,0.159826096579888,0.0915026976698268,0.817800269220782,0.822422697390347
0.7,0.7,0.165168538907699,0.0919363794685808,0.830654955111341,0.837731340464541
